level,domain_id,title,source_file,question_count
middle,cover,Cover,cover.zip/cover.tex,3
middle,ch-3-w2,Ch 3 W2,Class 10 Ch 3.zip/Ch 3 W2.tex,3
middle,ch-3-w3,Ch 3 W3,Class 10 Ch 3.zip/Ch 3 W3.tex,3
middle,ch-3-t1,Ch 3 T1,Class 10 Ch 3.zip/Ch 3 T1.tex,3
middle,ch-3-w7,Ch 3 W7,Class 10 Ch 3.zip/Ch 3 W7.tex,3
middle,ch-3-w4,Ch 3 W4,Class 10 Ch 3.zip/Ch 3 W4.tex,3
middle,ch-3-w5,Ch 3 W5,Class 10 Ch 3.zip/Ch 3 W5.tex,3
middle,ch-3-w6,Ch 3 W6,Class 10 Ch 3.zip/Ch 3 W6.tex,3
middle,ch-3-w8,Ch 3 W8,Class 10 Ch 3.zip/Ch 3 W8.tex,3
middle,ch-3-w9,Ch 3 W9,Class 10 Ch 3.zip/Ch 3 W9.tex,3
middle,ch-3-w10,Ch 3 W10,Class 10 Ch 3.zip/Ch 3 W10.tex,3
middle,ch-3-w11,Ch 3 W11,Class 10 Ch 3.zip/Ch 3 W11.tex,3
middle,complete-chapter-test,Complete Chapter Test,Class 10 Ch 2.zip/Complete Chapter Test.tex,3
middle,cyber-security,Cyber Security,CU Notes.zip/Cyber Security.tex,3
middle,sets-w1,Sets W1,Class 11 Ch 1.zip/Sets W1.tex,3
middle,sets-w2,Sets W2,Class 11 Ch 1.zip/Sets W2.tex,3
middle,sets-w3,Sets W3,Class 11 Ch 1.zip/Sets W3.tex,3
middle,ch-1-to-3-revision,Ch 1 To 3 Revision,Revision.zip/Ch 1 to 3 Revision.tex,3
middle,editorial-board-duty-list,Editorial Board Duty List,St. Francis School.zip/Editorial Board Duty List.tex,3
middle,eco-club-report,Eco Club Report,St. Francis School.zip/Eco Club Report.tex,3
middle,my-timetable,My Timetable,X Pansy Time Table.zip/My TimeTable.tex,3
middle,work-and-time,Work And Time,Quantitative Aptitude.zip/Work and Time.tex,3
primary,addition,Addition,Class 10 Module 1.zip/Addition.tex,3
primary,decidivision,Decidivision,Class 10 Module 1.zip/DeciDivision.tex,3
primary,decimultiply,Decimultiply,Class 10 Module 1.zip/DeciMultiply.tex,3
primary,division,Division,Class 10 Module 1.zip/Division.tex,3
primary,subtraction,Subtraction,Class 10 Module 1.zip/Subtraction.tex,3
senior,ch-1,Ch 1,Class 10 Module 1.zip/Ch-1.tex,3
senior,ch-2,Ch 2,Class 10 Module 1.zip/Ch-2.tex,3
senior,ch-3,Ch 3,Class 10 Module 1.zip/Ch-3.tex,3
senior,ch-4,Ch 4,Class 10 Module 1.zip/Ch-4.tex,3
senior,ch-5,Ch 5,Class 10 Module 1.zip/Ch-5.tex,3
senior,discriminant,Discriminant,Class 10 Module 1.zip/Discriminant.tex,3
senior,equations,Equations,Class 10 Module 1.zip/Equations.tex,3
senior,polynomials1,Polynomials1,Class 10 Module 1.zip/Polynomials1.tex,3
senior,polynomials2,Polynomials2,Class 10 Module 1.zip/Polynomials2.tex,3
senior,pythagoras,Pythagoras,Class 10 Module 1.zip/Pythagoras.tex,3
senior,class-10-1,Class 10 1,Tuition Entrance Test.zip/Class 10_1.tex,3
senior,class-9-2,Class 9 2,Tuition Entrance Test.zip/Class 9_2.tex,3
senior,class-10-2,Class 10 2,Tuition Entrance Test.zip/Class 10_2.tex,3
senior,class-9-1,Class 9 1,Tuition Entrance Test.zip/Class 9_1.tex,3
senior,ch-13,Ch 13,Standard class 10 Final Prep.zip/Ch-13.tex,3
senior,ch-8,Ch 8,Standard class 10 Final Prep.zip/Ch-8.tex,3
senior,class-10,Class 10,Science.zip/Class 10.tex,3
senior,ch-9-1,Ch 9 1,Class 10 Maths Revision.zip/Ch-9_1.tex,3
senior,polynomials,Polynomials,Class 9.zip/Polynomials.tex,3
senior,class-12,Class 12,Viva Questions.zip/Class 12.tex,3
senior,class-11,Class 11,Viva Questions.zip/Class 11.tex,3
