domain_id,level,title,source_file,question_count,canonical_top,canonical_sub
light,middle,Light,Science.zip/Light.tex,3,Uncategorized,Uncategorized
nayan-notes,middle,Nayan Notes,Science.zip/Nayan_Notes.tex,3,Uncategorized,Uncategorized
nayan-mcqs,middle,Nayan Mcqs,Science.zip/Nayan_MCQs.tex,3,Uncategorized,Uncategorized
pyqs,middle,Pyqs,Science.zip/PYQs.tex,3,Uncategorized,Uncategorized
pyqs-1,middle,Pyqs 1,Science.zip/PYQs_1.tex,3,Uncategorized,Uncategorized
w1,middle,W1,Class 10 Surface Area and Volume.zip/W1.tex,3,Uncategorized,Uncategorized
w1-answers,middle,W1 Answers,Class 10 Surface Area and Volume.zip/W1_Answers.tex,3,Uncategorized,Uncategorized
w2,middle,W2,Class 10 Surface Area and Volume.zip/W2.tex,3,Uncategorized,Uncategorized
w2-answers,middle,W2 Answers,Class 10 Surface Area and Volume.zip/W2_Answers.tex,3,Uncategorized,Uncategorized
w3,middle,W3,Class 10 Surface Area and Volume.zip/W3.tex,3,Uncategorized,Uncategorized
w3-answers,middle,W3 Answers,Class 10 Surface Area and Volume.zip/W3_Answers.tex,3,Uncategorized,Uncategorized
test,middle,Test,Class 10 Surface Area and Volume.zip/Test.tex,3,Uncategorized,Uncategorized
test-2,middle,Test 2,Class 10 Surface Area and Volume.zip/Test_2.tex,3,Uncategorized,Uncategorized
w4,middle,W4,Class 10 Surface Area and Volume.zip/W4.tex,3,Uncategorized,Uncategorized
w5,middle,W5,Class 10 Surface Area and Volume.zip/W5.tex,3,Uncategorized,Uncategorized
w6,middle,W6,Class 10 Surface Area and Volume.zip/W6.tex,3,Uncategorized,Uncategorized
w7,middle,W7,Class 10 Surface Area and Volume.zip/W7.tex,3,Uncategorized,Uncategorized
w8,middle,W8,Class 10 Surface Area and Volume.zip/W8.tex,3,Uncategorized,Uncategorized
w9,middle,W9,Class 10 Surface Area and Volume.zip/W9.tex,3,Uncategorized,Uncategorized
scaling-2,middle,Scaling 2,Statistics.zip/Scaling_2.tex,3,Uncategorized,Uncategorized
scaling-1,middle,Scaling 1,Statistics.zip/Scaling_1.tex,3,Uncategorized,Uncategorized
histogram-1,middle,Histogram 1,Statistics.zip/Histogram_1.tex,3,Uncategorized,Uncategorized
histogram-2,middle,Histogram 2,Statistics.zip/Histogram_2.tex,3,Uncategorized,Uncategorized
w5-answers,middle,W5 Answers,Class 10 Arithmetic Progression.zip/W5_Answers.tex,3,Uncategorized,Uncategorized
w10,middle,W10,Class 10 Arithmetic Progression.zip/W10.tex,3,Uncategorized,Uncategorized
w11,middle,W11,Class 10 Chapterwise.zip/W11.tex,3,Uncategorized,Uncategorized
w12,middle,W12,Class 10 Chapterwise.zip/W12.tex,3,Uncategorized,Uncategorized
w13,middle,W13,Class 10 Chapterwise.zip/W13.tex,3,Uncategorized,Uncategorized
w14,middle,W14,Class 10 Chapterwise.zip/W14.tex,3,Uncategorized,Uncategorized
front,middle,Front,Class 10 Chapterwise.zip/front.tex,3,Uncategorized,Uncategorized
index,middle,Index,Class 10 Chapterwise.zip/index.tex,3,Uncategorized,Uncategorized
perimeter,middle,Perimeter,Class 6.zip/Perimeter.tex,3,Uncategorized,Uncategorized
perimeter-2,middle,Perimeter 2,Class 6.zip/Perimeter_2.tex,3,Uncategorized,Uncategorized
perimeter-and-area-worksheet,middle,Perimeter And Area Worksheet,Class 6.zip/Perimeter and Area Worksheet.tex,3,Number Sense & Arithmetic,Time & Work
fractions-worksheet,middle,Fractions Worksheet,Class 6.zip/Fractions Worksheet.tex,3,Number Sense & Arithmetic,Fractions
construction-worksheet,middle,Construction Worksheet,Class 6.zip/Construction Worksheet.tex,3,Number Sense & Arithmetic,Time & Work
flt,middle,Flt,Class 6.zip/FLT.tex,3,Uncategorized,Uncategorized
symmetry,middle,Symmetry,Class 6.zip/Symmetry.tex,3,Uncategorized,Uncategorized
symmetry-2,middle,Symmetry 2,Class 6.zip/Symmetry_2.tex,3,Uncategorized,Uncategorized
symmetry-3,middle,Symmetry 3,Class 6.zip/Symmetry_3.tex,3,Uncategorized,Uncategorized
answer-key,middle,Answer Key,Trigonometry Worksheet.zip/Answer Key.tex,3,Number Sense & Arithmetic,Time & Work
trigonometry-worksheet,middle,Trigonometry Worksheet,Trigonometry Worksheet.zip/Trigonometry Worksheet.tex,3,Number Sense & Arithmetic,Time & Work
p-3-ans,middle,P 3 Ans,Basics.zip/P_3_Ans.tex,3,Uncategorized,Uncategorized
number-system-w1,middle,Number System W1,Class 9.zip/Number System W1.tex,3,Uncategorized,Uncategorized
fraction-to-decimal-conversion-worksheet,middle,Fraction To Decimal Conversion Worksheet,Class 9.zip/Fraction to Decimal Conversion Worksheet.tex,3,Number Sense & Arithmetic,Fractions
fraction-2-decimals-l2,middle,Fraction 2 Decimals L2,Class 9.zip/Fraction 2 Decimals L2.tex,3,Number Sense & Arithmetic,Fractions
radical-w1,middle,Radical W1,Class 9.zip/Radical W1.tex,3,Uncategorized,Uncategorized
quadrilaterals,middle,Quadrilaterals,Class 9.zip/Quadrilaterals.tex,3,Geometry,Quadrilaterals
version1,middle,Version1,Scripts.zip/Version1.tex,3,Uncategorized,Uncategorized
version2,middle,Version2,Scripts.zip/Version2.tex,3,Uncategorized,Uncategorized
version3,middle,Version3,Scripts.zip/Version3.tex,3,Uncategorized,Uncategorized
version4,middle,Version4,Scripts.zip/Version4.tex,3,Uncategorized,Uncategorized
prize-distribution,middle,Prize Distribution,Scripts.zip/prize_distribution.tex,3,Uncategorized,Uncategorized
calendar,middle,Calendar,Eco_Club.zip/calendar.tex,3,Uncategorized,Uncategorized
quiz-competition-1,middle,Quiz Competition 1,Eco_Club.zip/Quiz Competition_1.tex,3,Uncategorized,Uncategorized
quiz-competition-2,middle,Quiz Competition 2,Eco_Club.zip/Quiz Competition_2.tex,3,Uncategorized,Uncategorized
members,middle,Members,Eco_Club.zip/Members.tex,3,Uncategorized,Uncategorized
evs-quiz,middle,Evs Quiz,Eco_Club.zip/EVS_Quiz.tex,3,Uncategorized,Uncategorized
portal,middle,Portal,Eco_Club.zip/Portal.tex,3,Uncategorized,Uncategorized
scramble,middle,Scramble,Eco_Club.zip/Scramble.tex,3,Uncategorized,Uncategorized
crossword,middle,Crossword,Eco_Club.zip/Crossword.tex,3,Uncategorized,Uncategorized
word-search,middle,Word Search,Eco_Club.zip/Word Search.tex,3,Uncategorized,Uncategorized
cif,middle,Cif,Higher Maths.zip/CIF.tex,3,Uncategorized,Uncategorized
notes-1,middle,Notes 1,DSSSB.zip/Notes_1.tex,3,Uncategorized,Uncategorized
notes-2,middle,Notes 2,DSSSB.zip/Notes_2.tex,3,Uncategorized,Uncategorized
notes-3,middle,Notes 3,DSSSB.zip/Notes_3.tex,3,Uncategorized,Uncategorized
question-paper,middle,Question Paper,Templates.zip/Question_Paper.tex,3,Uncategorized,Uncategorized
worksheet,middle,Worksheet,Templates.zip/Worksheet.tex,3,Number Sense & Arithmetic,Time & Work
assignment,middle,Assignment,Templates.zip/Assignment.tex,3,Uncategorized,Uncategorized
name,middle,Name,Templates.zip/name.tex,3,Uncategorized,Uncategorized
story,middle,Story,Structure of Atoms.zip/Story.tex,3,Calculus,Applications of Derivatives
notes,middle,Notes,Structure of Atoms.zip/Notes.tex,3,Calculus,Applications of Derivatives
questions,middle,Questions,Structure of Atoms.zip/Questions.tex,3,Calculus,Applications of Derivatives
notes-ii,middle,Notes Ii,Structure of Atoms.zip/Notes_II.tex,3,Calculus,Applications of Derivatives
perimeter-and-area,middle,Perimeter And Area,VI_Maths.zip/Perimeter and Area.tex,3,Uncategorized,Uncategorized
asexual,middle,Asexual,How do organism Reproduce.zip/Asexual.tex,3,Uncategorized,Uncategorized
mcqs,middle,Mcqs,Electricity.zip/MCQs.tex,3,Uncategorized,Uncategorized
numericals,middle,Numericals,Electricity.zip/Numericals.tex,3,Applied Mathematics,Numerical Methods
numericals-2,middle,Numericals 2,Electricity.zip/Numericals_2.tex,3,Applied Mathematics,Numerical Methods
numericals-3,middle,Numericals 3,Electricity.zip/Numericals_3.tex,3,Applied Mathematics,Numerical Methods
diagram,middle,Diagram,Electricity.zip/Diagram.tex,3,Uncategorized,Uncategorized
numericals-1,middle,Numericals 1,Electricity.zip/Numericals_1.tex,3,Applied Mathematics,Numerical Methods
numericals-4,middle,Numericals 4,Electricity.zip/Numericals_4.tex,3,Applied Mathematics,Numerical Methods
sec-b,middle,Sec B,APAAR.zip/SEC_B.tex,3,Uncategorized,Uncategorized
sec-a,middle,Sec A,APAAR.zip/SEC_A.tex,3,Uncategorized,Uncategorized
sec-c,middle,Sec C,APAAR.zip/SEC_C.tex,3,Uncategorized,Uncategorized
combined-1,middle,Combined 1,APAAR.zip/Combined_1.tex,3,Uncategorized,Uncategorized
combined-2,middle,Combined 2,APAAR.zip/Combined_2.tex,3,Uncategorized,Uncategorized
v1,middle,V1,Basic Vs Standard.zip/V1.tex,3,Uncategorized,Uncategorized
slide-1,middle,Slide 1,Sequence and Series.zip/Slide_1.tex,3,Algebra,Sequences & Series
slide-2,middle,Slide 2,Sequence and Series.zip/Slide_2.tex,3,Algebra,Sequences & Series
slide-3,middle,Slide 3,Sequence and Series.zip/Slide_3.tex,3,Algebra,Sequences & Series
ans,middle,Ans,Continuity.zip/Ans.tex,3,Calculus,Continuity & Differentiability
w3-sol,middle,W3 Sol,Class 12 LPP.zip/W3_Sol.tex,3,Uncategorized,Uncategorized
ans1,middle,Ans1,Piyush.zip/Ans1.tex,3,Uncategorized,Uncategorized
ans3,middle,Ans3,Piyush.zip/Ans3.tex,3,Uncategorized,Uncategorized
ans2,middle,Ans2,Piyush.zip/Ans2.tex,3,Uncategorized,Uncategorized
answer,middle,Answer,Shagun.zip/Answer.tex,3,Uncategorized,Uncategorized
sample-1,middle,Sample 1,Shagun.zip/sample_1.tex,3,Uncategorized,Uncategorized
sample-2,middle,Sample 2,Shagun.zip/sample_2.tex,3,Uncategorized,Uncategorized
sample-3,middle,Sample 3,Shagun.zip/sample_3.tex,3,Uncategorized,Uncategorized
style,middle,Style,Practical File.zip/style.tex,3,Uncategorized,Uncategorized
t1,middle,T1,Practical File.zip/Chapters/T1.tex,3,Uncategorized,Uncategorized
t2,middle,T2,Practical File.zip/Chapters/T2.tex,3,Uncategorized,Uncategorized
t3,middle,T3,Practical File.zip/Chapters/T3.tex,3,Uncategorized,Uncategorized
t4,middle,T4,Practical File.zip/Chapters/T4.tex,3,Uncategorized,Uncategorized
t5,middle,T5,Practical File.zip/Chapters/T5.tex,3,Uncategorized,Uncategorized
t6,middle,T6,Practical File.zip/Chapters/T6.tex,3,Uncategorized,Uncategorized
t7,middle,T7,Practical File.zip/Chapters/T7.tex,3,Uncategorized,Uncategorized
t8,middle,T8,Practical File.zip/Chapters/T8.tex,3,Uncategorized,Uncategorized
t9,middle,T9,Practical File.zip/Chapters/T9.tex,3,Uncategorized,Uncategorized
t10,middle,T10,Practical File.zip/Chapters/T10.tex,3,Uncategorized,Uncategorized
t11,middle,T11,Practical File.zip/Chapters/T11.tex,3,Uncategorized,Uncategorized
t12,middle,T12,Practical File.zip/Chapters/T12.tex,3,Uncategorized,Uncategorized
t14,middle,T14,Practical File.zip/Chapters/T14.tex,3,Uncategorized,Uncategorized
t13,middle,T13,Practical File.zip/Chapters/T13.tex,3,Uncategorized,Uncategorized
t15,middle,T15,Practical File.zip/Chapters/T15.tex,3,Uncategorized,Uncategorized
back,middle,Back,Practical File.zip/Others/back.tex,3,Uncategorized,Uncategorized
certification,middle,Certification,Practical File.zip/Others/certification.tex,3,Uncategorized,Uncategorized
lined,middle,Lined,Practical File.zip/Others/lined.tex,3,Uncategorized,Uncategorized
activity,middle,Activity,Practical File.zip/Others/activity.tex,3,Uncategorized,Uncategorized
preface,middle,Preface,Practical File.zip/Others/preface.tex,3,Uncategorized,Uncategorized
usage,middle,Usage,Practical File.zip/Others/usage.tex,3,Uncategorized,Uncategorized
answers,middle,Answers,Practical File.zip/Others/answers.tex,3,Uncategorized,Uncategorized
graphs,middle,Graphs,Practical File.zip/Others/graphs.tex,3,Uncategorized,Uncategorized
spine,middle,Spine,Practical File.zip/Others/spine.tex,3,Uncategorized,Uncategorized
topic-3,middle,Topic 3,Class 12 Practical File.zip/Topic 3.tex,3,Uncategorized,Uncategorized
topic-1,middle,Topic 1,Class 12 Practical File.zip/Topic 1.tex,3,Uncategorized,Uncategorized
topic-7,middle,Topic 7,Class 12 Practical File.zip/Topic 7.tex,3,Uncategorized,Uncategorized
topic-10,middle,Topic 10,Class 12 Practical File.zip/Topic 10.tex,3,Uncategorized,Uncategorized
topic-11,middle,Topic 11,Class 12 Practical File.zip/Topic 11.tex,3,Uncategorized,Uncategorized
topic-12,middle,Topic 12,Class 12 Practical File.zip/Topic 12.tex,3,Uncategorized,Uncategorized
t16,middle,T16,Class 12 Practical File.zip/T16.tex,3,Uncategorized,Uncategorized
t18,middle,T18,Class 12 Practical File.zip/T18.tex,3,Uncategorized,Uncategorized
t19,middle,T19,Class 12 Practical File.zip/T19.tex,3,Uncategorized,Uncategorized
index-0,middle,Index 0,Class 12 Practical File.zip/index_0.tex,3,Uncategorized,Uncategorized
index-1,middle,Index 1,Class 12 Practical File.zip/index_1.tex,3,Uncategorized,Uncategorized
master-old,middle,Master Old,Class 12 Practical File.zip/master_old.tex,3,Uncategorized,Uncategorized
master,middle,Master,Class 12 Practical File.zip/_master.tex,3,Uncategorized,Uncategorized
dummy,middle,Dummy,Class 12 Practical File.zip/Dummy.tex,3,Uncategorized,Uncategorized
style-old,middle,Style Old,Class 12 Practical File.zip/style_old.tex,3,Uncategorized,Uncategorized
cover,middle,Cover,cover.zip/cover.tex,3,Uncategorized,Uncategorized
ch-3-w2,middle,Ch 3 W2,Class 10 Ch 3.zip/Ch 3 W2.tex,3,Uncategorized,Uncategorized
ch-3-w3,middle,Ch 3 W3,Class 10 Ch 3.zip/Ch 3 W3.tex,3,Uncategorized,Uncategorized
ch-3-t1,middle,Ch 3 T1,Class 10 Ch 3.zip/Ch 3 T1.tex,3,Uncategorized,Uncategorized
ch-3-w7,middle,Ch 3 W7,Class 10 Ch 3.zip/Ch 3 W7.tex,3,Uncategorized,Uncategorized
ch-3-w4,middle,Ch 3 W4,Class 10 Ch 3.zip/Ch 3 W4.tex,3,Uncategorized,Uncategorized
ch-3-w5,middle,Ch 3 W5,Class 10 Ch 3.zip/Ch 3 W5.tex,3,Uncategorized,Uncategorized
ch-3-w6,middle,Ch 3 W6,Class 10 Ch 3.zip/Ch 3 W6.tex,3,Uncategorized,Uncategorized
ch-3-w8,middle,Ch 3 W8,Class 10 Ch 3.zip/Ch 3 W8.tex,3,Uncategorized,Uncategorized
ch-3-w9,middle,Ch 3 W9,Class 10 Ch 3.zip/Ch 3 W9.tex,3,Uncategorized,Uncategorized
ch-3-w10,middle,Ch 3 W10,Class 10 Ch 3.zip/Ch 3 W10.tex,3,Uncategorized,Uncategorized
ch-3-w11,middle,Ch 3 W11,Class 10 Ch 3.zip/Ch 3 W11.tex,3,Uncategorized,Uncategorized
complete-chapter-test,middle,Complete Chapter Test,Class 10 Ch 2.zip/Complete Chapter Test.tex,3,Uncategorized,Uncategorized
cyber-security,middle,Cyber Security,CU Notes.zip/Cyber Security.tex,3,Uncategorized,Uncategorized
sets-w1,middle,Sets W1,Class 11 Ch 1.zip/Sets W1.tex,3,Logical & Analytical Mathematics,Set Theory
sets-w2,middle,Sets W2,Class 11 Ch 1.zip/Sets W2.tex,3,Logical & Analytical Mathematics,Set Theory
sets-w3,middle,Sets W3,Class 11 Ch 1.zip/Sets W3.tex,3,Logical & Analytical Mathematics,Set Theory
ch-1-to-3-revision,middle,Ch 1 To 3 Revision,Revision.zip/Ch 1 to 3 Revision.tex,3,Uncategorized,Uncategorized
editorial-board-duty-list,middle,Editorial Board Duty List,St. Francis School.zip/Editorial Board Duty List.tex,3,Uncategorized,Uncategorized
eco-club-report,middle,Eco Club Report,St. Francis School.zip/Eco Club Report.tex,3,Uncategorized,Uncategorized
my-timetable,middle,My Timetable,X Pansy Time Table.zip/My TimeTable.tex,3,Number Sense & Arithmetic,"Speed, Time & Distance"
work-and-time,middle,Work And Time,Quantitative Aptitude.zip/Work and Time.tex,3,Number Sense & Arithmetic,Time & Work
addition,primary,Addition,Class 10 Module 1.zip/Addition.tex,3,Uncategorized,Uncategorized
decidivision,primary,Decidivision,Class 10 Module 1.zip/DeciDivision.tex,3,Uncategorized,Uncategorized
decimultiply,primary,Decimultiply,Class 10 Module 1.zip/DeciMultiply.tex,3,Uncategorized,Uncategorized
division,primary,Division,Class 10 Module 1.zip/Division.tex,3,Uncategorized,Uncategorized
subtraction,primary,Subtraction,Class 10 Module 1.zip/Subtraction.tex,3,Uncategorized,Uncategorized
ch-1,senior,Ch 1,Class 10 Module 1.zip/Ch-1.tex,3,Uncategorized,Uncategorized
ch-2,senior,Ch 2,Class 10 Module 1.zip/Ch-2.tex,3,Uncategorized,Uncategorized
ch-3,senior,Ch 3,Class 10 Module 1.zip/Ch-3.tex,3,Uncategorized,Uncategorized
ch-4,senior,Ch 4,Class 10 Module 1.zip/Ch-4.tex,3,Uncategorized,Uncategorized
ch-5,senior,Ch 5,Class 10 Module 1.zip/Ch-5.tex,3,Uncategorized,Uncategorized
discriminant,senior,Discriminant,Class 10 Module 1.zip/Discriminant.tex,3,Uncategorized,Uncategorized
equations,senior,Equations,Class 10 Module 1.zip/Equations.tex,3,Algebra,Algebraic Expressions
polynomials1,senior,Polynomials1,Class 10 Module 1.zip/Polynomials1.tex,3,Algebra,Polynomials
polynomials2,senior,Polynomials2,Class 10 Module 1.zip/Polynomials2.tex,3,Algebra,Polynomials
